 >TARCYLCAP  cylinder with end-caps: Length= 25.0000 Diameter= 10.0000
      2552 = NAT
  1.000000  0.000000  0.000000 = A_1 vector
  0.000000  1.000000  0.000000 = A_2 vector
  1.000000  1.000000  1.000000 = lattice spacings (d_x,d_y,d_z)/d
 -13.00000  -0.50000  -0.50000 = lattice offset x0(1-3) = (x_TF,y_TF,z_TF)/d for dipole 0 0 0
     JA  IX  IY  IZ ICOMP(x,y,z)
    466  16   3  -2 1 1 1
    467  17   3  -2 1 1 1
    468  18   3  -2 1 1 1
    469  19   3  -2 1 1 1
    470  20   3  -2 1 1 1
    471  21   3  -2 1 1 1
    472  22   3  -2 1 1 1
    473  23   3  -2 1 1 1
    474  24   3  -2 1 1 1
    475  25   3  -2 1 1 1
    476   1   4  -2 1 1 1
    477   2   4  -2 1 1 1
    478   3   4  -2 1 1 1
    479   4   4  -2 1 1 1
    480   5   4  -2 1 1 1
    481   6   4  -2 1 1 1
    482   7   4  -2 1 1 1
    483   8   4  -2 1 1 1
    484   9   4  -2 1 1 1
    485  10   4  -2 1 1 1
    486  11   4  -2 1 1 1
    487  12   4  -2 1 1 1
    488  13   4  -2 1 1 1
    489  14   4  -2 1 1 1
    490  15   4  -2 1 1 1
    491  16   4  -2 1 1 1
    492  17   4  -2 1 1 1
    493  18   4  -2 1 1 1
    494  19   4  -2 1 1 1
    495  20   4  -2 1 1 1
    496  21   4  -2 1 1 1
    497  22   4  -2 1 1 1
    498  23   4  -2 1 1 1
    499  24   4  -2 1 1 1
    500  25   4  -2 1 1 1
    501   1  -4  -1 1 1 1
    502   2  -4  -1 1 1 1
    503   3  -4  -1 1 1 1
    504   4  -4  -1 1 1 1
    505   5  -4  -1 1 1 1
    506   6  -4  -1 1 1 1
    507   7  -4  -1 1 1 1
    508   8  -4  -1 1 1 1
    509   9  -4  -1 1 1 1
    510  10  -4  -1 1 1 1
    511  11  -4  -1 1 1 1
    512  12  -4  -1 1 1 1
    513  13  -4  -1 1 1 1
    514  14  -4  -1 1 1 1
    515  15  -4  -1 1 1 1
    516  16  -4  -1 1 1 1
    517  17  -4  -1 1 1 1
    518  18  -4  -1 1 1 1
    519  19  -4  -1 1 1 1
    520  20  -4  -1 1 1 1
    521  21  -4  -1 1 1 1
    522  22  -4  -1 1 1 1
    523  23  -4  -1 1 1 1
    524  24  -4  -1 1 1 1
    525  25  -4  -1 1 1 1
    526   1  -3  -1 1 1 1
    527   2  -3  -1 1 1 1
    528   3  -3  -1 1 1 1
    529   4  -3  -1 1 1 1
    530   5  -3  -1 1 1 1
    531   6  -3  -1 1 1 1
    532   7  -3  -1 1 1 1
    533   8  -3  -1 1 1 1
    534   9  -3  -1 1 1 1
    535  10  -3  -1 1 1 1
    536  11  -3  -1 1 1 1
    537  12  -3  -1 1 1 1
    538  13  -3  -1 1 1 1
    539  14  -3  -1 1 1 1
    540  15  -3  -1 1 1 1
    541  16  -3  -1 1 1 1
    542  17  -3  -1 1 1 1
    543  18  -3  -1 1 1 1
    544  19  -3  -1 1 1 1
    545  20  -3  -1 1 1 1
    546  21  -3  -1 1 1 1
    547  22  -3  -1 1 1 1
    548  23  -3  -1 1 1 1
    549  24  -3  -1 1 1 1
    550  25  -3  -1 1 1 1
    551   1  -2  -1 1 1 1
    552   2  -2  -1 1 1 1
    553   3  -2  -1 1 1 1
    554   4  -2  -1 1 1 1
    555   5  -2  -1 1 1 1
    556   6  -2  -1 1 1 1
    557   7  -2  -1 1 1 1
    558   8  -2  -1 1 1 1
    559   9  -2  -1 1 1 1
    560  10  -2  -1 1 1 1
    561  11  -2  -1 1 1 1
    562  12  -2  -1 1 1 1
    563  13  -2  -1 1 1 1
    564  14  -2  -1 1 1 1
    565  15  -2  -1 1 1 1
    566  16  -2  -1 1 1 1
    567  17  -2  -1 1 1 1
    568  18  -2  -1 1 1 1
    569  19  -2  -1 1 1 1
    570  20  -2  -1 1 1 1
    571  21  -2  -1 1 1 1
    572  22  -2  -1 1 1 1
    573  23  -2  -1 1 1 1
    574  24  -2  -1 1 1 1
    575  25  -2  -1 1 1 1
    576   1  -1  -1 1 1 1
    577   2  -1  -1 1 1 1
    578   3  -1  -1 1 1 1
    579   4  -1  -1 1 1 1
    580   5  -1  -1 1 1 1
    581   6  -1  -1 1 1 1
    582   7  -1  -1 1 1 1
    583   8  -1  -1 1 1 1
    584   9  -1  -1 1 1 1
    585  10  -1  -1 1 1 1
    586  11  -1  -1 1 1 1
    587  12  -1  -1 1 1 1
    588  13  -1  -1 1 1 1
    589  14  -1  -1 1 1 1
    590  15  -1  -1 1 1 1
    591  16  -1  -1 1 1 1
    592  17  -1  -1 1 1 1
    593  18  -1  -1 1 1 1
    594  19  -1  -1 1 1 1
    595  20  -1  -1 1 1 1
    596  21  -1  -1 1 1 1
    597  22  -1  -1 1 1 1
    598  23  -1  -1 1 1 1
    599  24  -1  -1 1 1 1
    600  25  -1  -1 1 1 1
    601   1   0  -1 1 1 1
    602   2   0  -1 1 1 1
    603   3   0  -1 1 1 1
    604   4   0  -1 1 1 1
    605   5   0  -1 1 1 1
    606   6   0  -1 1 1 1
    607   7   0  -1 1 1 1
    608   8   0  -1 1 1 1
    609   9   0  -1 1 1 1
    610  10   0  -1 1 1 1
    611  11   0  -1 1 1 1
    612  12   0  -1 1 1 1
    613  13   0  -1 1 1 1
    614  14   0  -1 1 1 1
    615  15   0  -1 1 1 1
    616  16   0  -1 1 1 1
    617  17   0  -1 1 1 1
    618  18   0  -1 1 1 1
    619  19   0  -1 1 1 1
    620  20   0  -1 1 1 1
    621  21   0  -1 1 1 1
    622  22   0  -1 1 1 1
    623  23   0  -1 1 1 1
    624  24   0  -1 1 1 1
    625  25   0  -1 1 1 1
    626   1   1  -1 1 1 1
    627   2   1  -1 1 1 1
    628   3   1  -1 1 1 1
    629   4   1  -1 1 1 1
    630   5   1  -1 1 1 1
    631   6   1  -1 1 1 1
    632   7   1  -1 1 1 1
    633   8   1  -1 1 1 1
    634   9   1  -1 1 1 1
    635  10   1  -1 1 1 1
    636  11   1  -1 1 1 1
    637  12   1  -1 1 1 1
    638  13   1  -1 1 1 1
    639  14   1  -1 1 1 1
    640  15   1  -1 1 1 1
    641  16   1  -1 1 1 1
    642  17   1  -1 1 1 1
    643  18   1  -1 1 1 1
    644  19   1  -1 1 1 1
    645  20   1  -1 1 1 1
    646  21   1  -1 1 1 1
    647  22   1  -1 1 1 1
    648  23   1  -1 1 1 1
    649  24   1  -1 1 1 1
